date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:25	208508/208508	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20May%202019%2019:29:23%20GMT	http://www.joshcaratelli.com/	C:/My%20Web%20Sites/portfolio/www.joshcaratelli.com/index.html	(from )
00:59:26	199/199	---M-Z	200	added ('OK')	text/plain	etag:W/%22c4ed744ccb835c478790f8d7571dcf57%22	http://www.joshcaratelli.com/robots.txt		(from )
00:59:27	1154/1154	---M-Z	200	added ('OK')	text/css	etag:%229a6e5c5680ede363cb16d92d9a915ceb%22	https://static-assets.strikinglycdn.com/_reset-e86dc20205eb267eb1803edb4281063d0db8db4dde3345771532819dae916332.css	C:/My%20Web%20Sites/portfolio/static-assets.strikinglycdn.com/_reset-e86dc20205eb267eb1803edb4281063d0db8db4dde3345771532819dae916332.css	(from http://www.joshcaratelli.com/)
00:59:30	632421/632421	---M-Z	200	added ('OK')	text/css	etag:%22dd63b931191f9ce817b43cd003e5eb10%22	https://static-assets.strikinglycdn.com/themes/sleek/main_v4.8d8d0be1ecde6158f2c8.bundle.css	C:/My%20Web%20Sites/portfolio/static-assets.strikinglycdn.com/themes/sleek/main_v4.8d8d0be1ecde6158f2c8.bundle.css	(from http://www.joshcaratelli.com/)
00:59:30	1505/1505	---M--	200	added ('OK')	image/png	etag:%226bd36b101c1ab9daddc36d7057ef2b96%22	http://res.cloudinary.com/hrscywv4p/image/upload/c_limit,f_auto,h_64,q_90,w_64/v1/280957/Justin_Cavenagh_JC_Logo_Josh_Caratelli_Website_q7mcqz.png	C:/My%20Web%20Sites/portfolio/res.cloudinary.com/hrscywv4p/image/upload/c_limit,f_auto,h_64,q_90,w_64/v1/280957/Justin_Cavenagh_JC_Logo_Josh_Caratelli_Website_q7mcqz.png	(from http://www.joshcaratelli.com/)
00:59:31	138/138	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2008%20May%202019%2019:29:29%20GMT	http://www.joshcaratelli.com/i/pwa/manifest.json	C:/My%20Web%20Sites/portfolio/www.joshcaratelli.com/i/pwa/manifest.json	(from http://www.joshcaratelli.com/)
00:59:31	4072/4072	---M--	200	added ('OK')	image/png	etag:%226056caee389440e86ca72e139708fbe8%22	https://res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_60,w_60,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	C:/My%20Web%20Sites/portfolio/res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_60,w_60,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	(from http://www.joshcaratelli.com/)
00:59:32	5610/5610	---M--	200	added ('OK')	image/png	etag:%22f26731bfa9195cf3b408e016fa74cdb4%22	https://res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_76,w_76,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	C:/My%20Web%20Sites/portfolio/res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_76,w_76,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	(from http://www.joshcaratelli.com/)
00:59:32	10767/10767	---M--	200	added ('OK')	image/png	etag:%226dfe6463e350304293d8f9c409304057%22	https://res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_120,w_120,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	C:/My%20Web%20Sites/portfolio/res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_120,w_120,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	(from http://www.joshcaratelli.com/)
00:59:33	15677/15677	---M--	200	added ('OK')	image/png	etag:%226dc571ebd2a1b93cf53ca0586ad8417d%22	https://res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_152,w_152,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	C:/My%20Web%20Sites/portfolio/res.cloudinary.com/hrscywv4p/image/upload/c_limit,fl_lossy,h_152,w_152,f_auto,q_auto/v1/280957/Josh_Portrait_New_Cropped_scnz8d.png	(from http://www.joshcaratelli.com/)
